"id","ts","temp_sensor","humidity_sensor","temp_api","humidity_api","pressure","wind_speed","cloudiness","weather"
"1","2024-04-18 17:04:21","20","50","36.88","57","1004","5.66","20","Clouds"
"2","2024-04-18 17:14:22","20","47","36.38","58","1004","5.66","20","Clouds"
"3","2024-04-18 17:24:22","20","50","35.8","58","1003","5.66","20","Clouds"
"4","2024-04-18 17:34:22","20","49","35.8","58","1003","5.66","20","Clouds"
"5","2024-04-18 17:44:23","20","49","35.49","59","1003","5.66","20","Clouds"
"6","2024-04-18 17:54:23","20","49","35.27","59","1003","5.66","20","Clouds"
"7","2024-04-18 18:04:23","20","51","35.4","59","1003","5.66","20","Clouds"
"8","2024-04-18 18:14:24","20","52","35.03","59","1003","5.66","20","Clouds"
"9","2024-04-18 20:36:34","19","50","32.36","81","1005","7.72","20","Clouds"
"10","2024-04-18 20:46:35","19","50","31.17","74","1005","7.72","20","Clouds"
"11","2024-04-18 20:56:34","20","52","32.5","84","1005","7.72","20","Clouds"
"12","2024-04-18 21:06:35","19","52","31.21","74","1005","7.72","20","Clouds"
"13","2024-04-18 21:16:36","19","50","31.21","74","1006","7.2","20","Clouds"
"14","2024-04-18 21:26:35","19","49","32.53","85","1006","7.2","20","Clouds"
"15","2024-04-18 21:36:36","19","50","32.53","84","1006","7.2","20","Clouds"
"16","2024-04-18 21:46:36","19","50","32.53","85","1006","6.69","20","Clouds"
"17","2024-04-18 21:56:36","19","49","32.53","85","1006","6.69","20","Clouds"
"18","2024-04-18 22:06:37","19","49","32.52","85","1006","6.69","20","Clouds"
"19","2024-04-18 22:16:37","19","50","32.52","85","1006","6.69","20","Clouds"
"20","2024-04-18 22:26:37","19","49","32.25","86","1006","6.69","20","Clouds"
"21","2024-04-18 22:36:37","19","49","31.14","74","1006","6.69","20","Clouds"
"22","2024-04-18 22:46:38","19","49","31.14","74","1006","6.69","20","Clouds"
"23","2024-04-18 22:56:38","19","48","31.14","74","1006","6.17","20","Rain"
"24","2024-04-18 23:06:38","19","48","31.19","74","1006","6.17","20","Rain"
"25","2024-04-18 23:16:38","19","49","31.19","74","1006","6.17","20","Rain"
"26","2024-04-18 23:26:39","23","42","31.19","74","1007","5.14","20","Rain"
"27","2024-04-18 23:36:39","24","39","31.19","74","1007","5.14","20","Rain"
"28","2024-04-18 23:46:39","25","38","32.22","86","1007","5.66","20","Clouds"
"29","2024-04-18 23:56:39","25","38","32.22","85","1007","5.66","20","Rain"
"30","2024-04-19 00:06:40","26","42","31.09","74","1007","5.66","20","Rain"
"31","2024-04-19 00:16:40","26","45","31.09","74","1007","5.66","20","Rain"
"32","2024-04-19 00:26:41","27","46","31.09","74","1006","5.66","20","Rain"
"33","2024-04-19 00:36:41","27","48","32.19","85","1006","5.66","20","Clouds"
"34","2024-04-19 00:46:41","27","49","32.19","85","1006","5.66","20","Clouds"
"35","2024-04-19 00:56:41","27","51","30.78","71","1006","4.63","20","Clouds"
"36","2024-04-19 01:06:42","27","53","30.78","72","1006","4.63","20","Rain"
"37","2024-04-19 01:16:42","28","56","30.45","72","1006","6.17","20","Rain"
"38","2024-04-19 01:26:42","28","58","29.28","61","1006","6.17","20","Rain"
"39","2024-04-19 01:36:42","28","58","30.18","74","1006","6.17","20","Clouds"
"40","2024-04-19 01:46:43","28","59","29.04","62","1005","3.09","20","Clouds"
"41","2024-04-19 01:56:43","28","60","29.04","62","1005","3.09","20","Clouds"
"42","2024-04-19 02:06:43","28","61","30.23","74","1005","3.09","20","Clouds"
"43","2024-04-19 02:16:43","28","61","29.5","62","1005","4.12","20","Clouds"
"44","2024-04-19 09:25:20","30","85","34.32","62","1008","4.12","20","Clouds"
"45","2024-04-19 09:35:20","30","89","34.61","60","1008","4.12","20","Clouds"
"46","2024-04-19 09:45:21","26","82","35.37","55","1008","3.6","20","Clouds"
"47","2024-04-19 09:55:21","24","73","35.38","54","1008","3.6","20","Clouds"
"48","2024-04-19 10:05:21","23","65","35.38","54","1008","3.6","20","Clouds"
"49","2024-04-19 10:15:22","22","60","35.38","54","1008","3.6","20","Clouds"
"50","2024-04-19 10:25:24","22","59","36.14","52","1008","3.09","20","Clouds"
"51","2024-04-19 10:35:22","21","56","36.14","52","1008","3.09","20","Clouds"
"52","2024-04-19 10:45:23","21","55","36.91","47","1008","3.6","20","Clouds"
"53","2024-04-19 10:55:22","20","53","37.19","46","1008","3.6","20","Clouds"
"54","2024-04-19 11:05:23","20","52","37.48","44","1008","3.6","20","Clouds"
"55","2024-04-19 11:21:28","20","51","37.32","45","1007","3.6","20","Clouds"
"56","2024-04-19 11:31:28","20","53","37.32","45","1007","3.6","20","Clouds"
"57","2024-04-19 11:41:28","20","52","37.49","43","1007","3.6","20","Clouds"
"58","2024-04-19 11:51:29","20","52","37.97","43","1007","3.6","20","Clouds"
"59","2024-04-19 12:01:29","20","52","37.97","43","1007","3.6","20","Clouds"
"60","2024-04-19 12:11:29","20","51","37.97","43","1007","3.6","20","Clouds"
"61","2024-04-19 13:06:27","28","65","39.34","38","1006","3.09","20","Clouds"
"62","2024-04-19 13:16:26","26","60","39.86","34","1006","4.12","20","Clouds"
"63","2024-04-19 13:26:27","24","67","39.18","25","1006","4.12","20","Clouds"
"64","2024-04-19 13:36:27","24","64","39.18","25","1006","4.12","20","Clouds"
"65","2024-04-19 13:46:27","24","60","39.18","25","1006","4.12","20","Clouds"
"66","2024-04-19 13:56:27","25","61","39.86","34","1005","6.69","20","Clouds"
"67","2024-04-19 14:06:28","25","61","39.31","35","1005","6.69","20","Clouds"
"68","2024-04-19 14:16:29","25","58","39.1","42","1004","3.09","20","Clouds"
"69","2024-04-19 14:26:28","25","63","39.1","42","1004","3.09","20","Clouds"
"70","2024-04-19 14:36:28","24","61","39.17","40","1004","3.09","20","Clouds"
"71","2024-04-19 14:46:29","24","62","39.17","40","1004","3.09","20","Clouds"
"72","2024-04-19 14:56:29","24","63","39.17","40","1004","3.09","20","Clouds"
"73","2024-04-19 15:06:29","25","64","38.9","42","1004","4.63","20","Clouds"
"74","2024-04-19 15:16:29","24","60","39.18","42","1003","5.14","20","Clouds"
"75","2024-04-19 15:26:30","24","61","38.68","43","1003","5.14","20","Clouds"
"76","2024-04-19 15:36:30","24","61","38.93","43","1003","5.14","20","Clouds"
"77","2024-04-19 15:46:30","24","64","38.68","44","1003","5.14","20","Clouds"
"78","2024-04-19 15:56:31","25","63","38.66","44","1003","4.12","20","Clouds"
"79","2024-04-19 16:02:19","25","63","38.66","44","1003","4.12","20","Clouds"
"80","2024-04-19 16:12:20","25","60","38.31","46","1003","4.12","20","Clouds"
